Institution,Awards,Payout,Type,Year
St. Xavier University,"1,655","$6,382,433 ",Private-4 year,2011-2012
Telshe Yeshiva,23,"$92,514 ",Private-4 year,2011-2012
The School of the Art Institute,237,"$895,002 ",Private-4 year,2011-2012
The University of Chicago,271,"$1,240,416 ",Private-4 year,2011-2012
Trinity Christian College,496,"$1,724,278 ",Private-4 year,2011-2012
Trinity International Univ- Reach,110,"$303,471 ",Private-4 year,2011-2012
Trinity International University,187,"$803,435 ",Private-4 year,2011-2012
University of St. Francis,669,"$2,643,185 ",Private-4 year,2011-2012
Vandercook College of Music,58,"$245,343 ",Private-4 year,2011-2012
Wheaton College,133,"$586,227 ",Private-4 year,2011-2012
Black Hawk College,"1,128","$1,110,790 ",Public-2 year,2011-2012
Carl Sandburg College,717,"$871,259 ",Public-2 year,2011-2012
College of DuPage,"3,014","$3,299,151 ",Public-2 year,2011-2012
College of Lake County,"1,564","$1,278,661 ",Public-2 year,2011-2012
Danville Area Community College,446,"$371,527 ",Public-2 year,2011-2012
Elgin Community College,"1,623","$1,444,714 ",Public-2 year,2011-2012
Frontier Community College,122,"$113,244 ",Public-2 year,2011-2012
Harold Washington College,"3,603","$3,432,847 ",Public-2 year,2011-2012
Harry S. Truman College,"1,845","$1,669,947 ",Public-2 year,2011-2012
Heartland Community College,891,"$780,558 ",Public-2 year,2011-2012
Highland Community College,457,"$437,323 ",Public-2 year,2011-2012
Illinois Central College,"2,002","$1,658,987 ",Public-2 year,2011-2012
Illinois Valley Community College,940,"$975,930 ",Public-2 year,2011-2012
John A. Logan College,849,"$821,924 ",Public-2 year,2011-2012
John Wood Community College,553,"$678,038 ",Public-2 year,2011-2012
Joliet Junior College,"2,132","$2,064,219 ",Public-2 year,2011-2012
Kankakee Community College,"1,045","$924,242 ",Public-2 year,2011-2012
Kaskaskia College,587,"$534,693 ",Public-2 year,2011-2012
Kennedy-King College,"2,356","$2,104,923 ",Public-2 year,2011-2012
Kishwaukee College,"1,125","$1,247,095 ",Public-2 year,2011-2012
Lake Land College,"1,094","$1,163,866 ",Public-2 year,2011-2012
Lewis & Clark Comm. College,779,"$783,764 ",Public-2 year,2011-2012
Lincoln Land Comm. College,"1,206","$999,914 ",Public-2 year,2011-2012
Lincoln Trail College,136,"$128,980 ",Public-2 year,2011-2012
Malcolm X College,"2,320","$2,030,183 ",Public-2 year,2011-2012
McHenry County College,582,"$567,624 ",Public-2 year,2011-2012
Moraine Valley Comm. College,"2,440","$2,386,750 ",Public-2 year,2011-2012
Morton College,921,"$709,456 ",Public-2 year,2011-2012
Oakton Community College,"1,180","$1,065,806 ",Public-2 year,2011-2012
Olive Harvey College,"1,497","$1,339,009 ",Public-2 year,2011-2012
Olney Central College,299,"$272,794 ",Public-2 year,2011-2012
Parkland College,"1,605","$1,783,285 ",Public-2 year,2011-2012
Prairie State College,"1,435","$1,551,844 ",Public-2 year,2011-2012
Rend Lake College,503,"$474,349 ",Public-2 year,2011-2012
Richard J. Daley College,"1,923","$1,683,430 ",Public-2 year,2011-2012
Richland Community College,575,"$485,317 ",Public-2 year,2011-2012
Rock Valley College,"1,738","$1,391,568 ",Public-2 year,2011-2012
Sauk Valley Community College,460,"$419,241 ",Public-2 year,2011-2012
